metric,A,B,n_pairs,mean_A,mean_B,mean_diff,t_stat,p_value,sig_uncorrected,sig_bonferroni
macro_auc,RN50_roi,CBAM_roi,15,0.902305520622222,0.8960320139551355,0.00627350666708657,1.230960910913246,0.23861759937334973,no,no
macro_auc,RN50_roi,ViT_full,15,0.902305520622222,0.8922865174951423,0.010019003127079913,1.2889043587130893,0.2183225656496067,no,no
macro_auc,RN50_roi,ViT_roi,15,0.902305520622222,0.9083923055685604,-0.00608678494633846,-0.9472011207273249,0.359599939007272,no,no
macro_auc,CBAM_full,CBAM_roi,15,0.8834554839559294,0.8960320139551355,-0.012576529999206125,-1.864484824482477,0.08335528841216268,no,no
macro_auc,CBAM_full,ViT_full,15,0.8834554839559294,0.8922865174951423,-0.00883103353921278,-1.6242776870940383,0.12660976053746165,no,no
macro_auc,CBAM_full,ViT_roi,15,0.8834554839559294,0.9083923055685604,-0.024936821612631156,-3.195723175748238,0.006475383835971737,yes,no
macro_auc,CBAM_roi,ViT_full,15,0.8960320139551355,0.8922865174951423,0.0037454964599933434,0.4781189204270012,0.6399453847006489,no,no
macro_auc,CBAM_roi,ViT_roi,15,0.8960320139551355,0.9083923055685604,-0.01236029161342503,-2.558876480045026,0.02272270872872851,yes,no
macro_auc,ViT_full,ViT_roi,15,0.8922865174951423,0.9083923055685604,-0.016105788073418375,-1.66216832170248,0.11869723171802067,no,no
f1_Normal,RN50_full,RN50_roi,15,0.6988589497002974,0.6260723338213652,0.0727866158789323,2.86385146831404,0.012503517228811604,yes,no
f1_Normal,RN50_full,CBAM_full,15,0.6988589497002974,0.5877603243870317,0.11109862531326559,6.108748959103634,2.7019397904661175e-05,yes,yes
f1_Normal,RN50_full,CBAM_roi,15,0.6988589497002974,0.5367198109960839,0.16213913870421368,6.0739432625264005,2.8673001941485135e-05,yes,yes
f1_Normal,RN50_full,ViT_full,15,0.6988589497002974,0.6692621776126843,0.029596772087613247,3.031935843200885,0.008965423609311463,yes,no
f1_Normal,RN50_full,ViT_roi,15,0.6988589497002974,0.5572943820898182,0.1415645676104792,6.68988213459585,1.027260902032486e-05,yes,yes
f1_Normal,RN50_roi,CBAM_full,15,0.6260723338213652,0.5877603243870317,0.03831200943433325,1.2271659900714966,0.23999684197748417,no,no
f1_Normal,RN50_roi,CBAM_roi,15,0.6260723338213652,0.5367198109960839,0.08935252282528137,3.1352662039539467,0.007302380384987343,yes,no
f1_Normal,RN50_roi,ViT_full,15,0.6260723338213652,0.6692621776126843,-0.04318984379131907,-1.4650860818455775,0.16499237113496518,no,no
f1_Normal,RN50_roi,ViT_roi,15,0.6260723338213652,0.5572943820898182,0.06877795173154687,3.376629590170561,0.004518136844316387,yes,no
f1_Normal,CBAM_full,CBAM_roi,15,0.5877603243870317,0.5367198109960839,0.051040513390948096,1.984625176897501,0.06714142554217364,no,no
f1_Normal,CBAM_full,ViT_full,15,0.5877603243870317,0.6692621776126843,-0.08150185322565233,-5.498092621801296,7.849726774696044e-05,yes,yes
f1_Normal,CBAM_full,ViT_roi,15,0.5877603243870317,0.5572943820898182,0.030465942297213625,0.9591456241686185,0.3537580060165138,no,no
f1_Normal,CBAM_roi,ViT_full,15,0.5367198109960839,0.6692621776126843,-0.13254236661660043,-4.885455810878149,0.00024074892459070228,yes,yes
f1_Normal,CBAM_roi,ViT_roi,15,0.5367198109960839,0.5572943820898182,-0.020574571093734475,-0.7530620963866853,0.46388872691257954,no,no
f1_Normal,ViT_full,ViT_roi,15,0.6692621776126843,0.5572943820898182,0.11196779552286594,4.274129765254448,0.0007712169192051276,yes,yes
f1_Cyst,RN50_full,RN50_roi,15,0.4535298398907299,0.6164205962807593,-0.16289075639002915,-4.4018045981500125,0.00060271729868711,yes,yes
f1_Cyst,RN50_full,CBAM_full,15,0.4535298398907299,0.46169059438277366,-0.008160754492043676,-0.25431772037028033,0.8029474591663373,no,no
f1_Cyst,RN50_full,CBAM_roi,15,0.4535298398907299,0.5968665729457103,-0.1433367330549804,-4.1369182912306925,0.0010069172429985635,yes,yes
