metric,condition_A,condition_B,mean_A,mean_B,mean_diff (A-B),t_stat,p_value,sig_at_0.05,sig_after_Bonferroni
macro_auc,RN50_roi,ViT_full,0.8986304556504614,0.9000404367882293,-0.001409981137767935,-0.11341504540187976,0.9151658949578994,no,no
macro_auc,RN50_roi,ViT_roi,0.8986304556504614,0.9020116592417662,-0.00338120359130456,-0.2838991928709284,0.7905768607998517,no,no
macro_auc,CBAM_full,CBAM_roi,0.8898031506421656,0.884997536435663,0.004805614206502407,0.6540931960675156,0.5487502472690894,no,no
macro_auc,CBAM_full,ViT_full,0.8898031506421656,0.9000404367882293,-0.010237286146063873,-0.964649057803711,0.3893474892469197,no,no
macro_auc,CBAM_full,ViT_roi,0.8898031506421656,0.9020116592417662,-0.012208508599600498,-1.6454710969512127,0.1752180087212853,no,no
macro_auc,CBAM_roi,ViT_full,0.884997536435663,0.9000404367882293,-0.01504290035256628,-1.1527617887036803,0.31320907447412444,no,no
macro_auc,CBAM_roi,ViT_roi,0.884997536435663,0.9020116592417662,-0.017014122806102906,-2.6897384529733945,0.0546728944093024,no,no
macro_auc,ViT_full,ViT_roi,0.9000404367882293,0.9020116592417662,-0.0019712224535366253,-0.12613696194791416,0.905709553541073,no,no
f1_Normal,RN50_full,RN50_roi,0.6979504189789784,0.6345747138620592,0.06337570511691926,1.5440087048842464,0.19746577661612508,no,no
f1_Normal,RN50_full,CBAM_full,0.6979504189789784,0.5880709856309354,0.10987943334804293,2.48135240662502,0.06811232633030465,no,no
f1_Normal,RN50_full,CBAM_roi,0.6979504189789784,0.5150586603630931,0.1828917586158852,7.5068535475612626,0.00168504636593844,yes,yes
f1_Normal,RN50_full,ViT_full,0.6979504189789784,0.677280409834541,0.020670009144437375,0.8545051220721334,0.44098312039364795,no,no
f1_Normal,RN50_full,ViT_roi,0.6979504189789784,0.5755473111108863,0.12240310786809212,2.985597959896889,0.04051396355300834,yes,no
f1_Normal,RN50_roi,CBAM_full,0.6345747138620592,0.5880709856309354,0.04650372823112368,0.7973880574044028,0.4698803560646691,no,no
f1_Normal,RN50_roi,CBAM_roi,0.6345747138620592,0.5150586603630931,0.11951605349896592,3.17624620074135,0.03365587526800135,yes,no
f1_Normal,RN50_roi,ViT_full,0.6345747138620592,0.677280409834541,-0.04270569597248188,-0.8482966938421307,0.44405366349592895,no,no
f1_Normal,RN50_roi,ViT_roi,0.6345747138620592,0.5755473111108863,0.05902740275117287,1.956685899694964,0.12201751605296013,no,no
f1_Normal,CBAM_full,CBAM_roi,0.5880709856309354,0.5150586603630931,0.07301232526784225,1.985258539465983,0.11808910180529608,no,no
